"District","mag","SDP ","SKDL ","Kesk ","Kok ","RKP ","LKP ","SKL ","SMP ","SKYP ","SPK ","ÅS","Source","cst","cst_n"
"Åland ",1,,,,,,,,,,,1,"https://en.wikipedia.org/wiki/1975_Finnish_parliamentary_election",1,"ahvenmnaan läänin"
"Central Finland ",10,3,2,3,2,"","","","","","","",,5,"keski-suomen läänin"
"Häme ",15,5,3,2,4,,,1,"","","","",,3,"hämeen läänin eteläinen"
"Helsinki ",21,6,4,,4,3,2,1,,,1,,,2,"helsinki läänin"
"Kymi ",15,6,1,3,3,,1,1,"","","","",,7,"kymen läänin"
"Lapland ",9,1,3,4,1,,,,,,,,,8,"lapin läänin"
"North Karelia ",8,3,1,2,1,,,1,,,,,,11,"pohjoinen karialan läänin"
"North Savo ",11,2,3,4,1,,,,1,"","","",,6,"kuopion läänin"
"Oulu ",17,2,5,6,1,,1,1,1,"","","",,10,"oulun läänin"
"Pirkanmaa ",13,4,4,1,3,,,1,"","","","",,4,"hämeen läänin pohjoinen"
"Satakunta ",13,4,3,2,3,,1,,,,,,,12,"turun-porin läänin pohjoinen"
"South Savo ",9,3,1,3,2,"","","","","","","",,9,"mikkelin läänin"
"Uusimaa ",24,8,4,2,5,2,2,1,"","","","",,14,"uudenmaan läänin"
"Vaasa ",18,3,2,5,2,3,1,1,,1,"","",,15,"vaasan läänin"
"Varsinais-Suomi ",16,4,4,2,3,1,1,1,,,,,,13,"tutun-porin läänin eteläinen"
