Constituency,cst,mag,Ap ,H ,Sp ,KrF ,V,Source
Akershus ,1,7,3,2,1,,1,https://en.wikipedia.org/wiki/1969_Norwegian_parliamentary_election#Seat_distribution
Aust-Agder ,2,4,2,1,,,1,
Bergen ,3,5,2,1,,1,1,
Buskerud ,4,7,4,2,1,,,
Finnmark ,5,4,3,1,,,,
Hedmark ,6,8,5,1,2,,,
Hordaland ,7,10,4,2,1,2,1,
Møre og Romsdal ,8,10,3,1,2,2,2,
Nord-Trøndelag ,9,6,3,,2,,1,
Nordland ,10,12,6,2,2,1,1,
Oppland ,12,7,5,,2,,,
Oslo ,13,13,6,5,,1,1,
Østfold ,11,8,5,1,1,1,,
Rogaland ,14,10,4,2,1,2,1,
Sogn og Fjordane ,16,5,2,1,1,1,,
Sør-Trøndelag ,15,10,5,2,2,1,,
Telemark ,17,6,3,1,,1,1,
Troms ,18,6,3,1,1,,1,
Vest-Agder ,19,5,2,1,,1,1,
Vestfold ,20,7,4,2,1,,,
